수집일,수집시각,사이트,카테고리,순위,브랜드,상품명,가격,링크,이미지
2026-08-21,2026-08-21 12:37,올리브영,건강식품,1,코자아,코자아 식물성 멜라토닌 함유 젤리 기획 (+10구미+틴케이스) (20일분),27900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259056&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=1,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025905613ko.jpg?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,2,라이필,"[리뷰이벤트/10일콜라겐/모공,목주름/PDRN] 라이필 더마콜라겐 시그니처RN (10일분)",14080,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259411&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=2,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025941119ko.png?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,3,프로뉴트리션,[8월 올영픽/한선화 PICK] 프로뉴트리션 듀얼플랜 다이어트 유산균 14포,32900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205496&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=3,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020549616ko.jpg?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,4,오쏘몰,[8월 올영픽] 오쏘몰 이뮨 멀티비타민&미네랄 14+1입,55900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000193086&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=4,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0019/A00000019308653ko.jpg?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,5,판도라,[8월 올영픽] 판도라 브이트리티 7/14+1포 (7/15일분),24500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000227334&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=5,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0022/A00000022733447ko.png?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,6,생활약속,[8월 올영픽/곽민경 PICK] 생활약속 기분전환 알파플러스 10포 (+1포 증정기획),14500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180121&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=6,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018012132ko.jpg?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,7,올더베러,[8월올영픽]올더베러 웰니스 구미 30일분 6종 택1,9900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000245874&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=7,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0024/A00000024587413ko.jpg?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,8,덴프스,[8월 올영픽/덴프스] 덴마크 유산균이야기 우먼 2개월분(질유산균) + 철분 헤모케어 3포 증정,31900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202658&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=8,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0020/A00000020265832ko.jpg?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,9,푸드올로지,[8월 올영픽/파격특가] 콜레올로지 컷팅 젤리 레몬/키위/석류 10+2+2포 기획 외,11900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000183645&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=9,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0018/A00000018364585ko.jpg?l=ko
2026-08-21,2026-08-21 12:37,올리브영,건강식품,10,그래니샐러드,그래니 살라 VPL정 60정(1개월분),22790,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253967&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_건강식품_상품상세&t_number=10,https://image.oliveyoung.co.kr/cfimages/cf-goods/uploads/images/thumbnails/400/10/0000/0025/A00000025396704ko.png?l=ko
