수집일,사이트,카테고리,순위,브랜드,상품명,가격,광고여부
2026-08-12,카카오선물하기,건강식품·영양제,1,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 7입 - 단독 기프트박스 증정 (공식수입),34000,N
2026-08-12,카카오선물하기,건강식품·영양제,2,옵티젠,한국인 맞춤 비타민 옵티젠 이뮨 멀티비타민&미네랄 10입 / 1박스 (+GIFT 쇼핑백),26900,N
2026-08-12,카카오선물하기,건강식품·영양제,3,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 30입 - 시그니처 기프트 에디션 (공식수입),99000,N
2026-08-12,카카오선물하기,건강식품·영양제,4,오쏘몰,독일 명품 비타민 오쏘몰 이뮨 멀티비타민&미네랄 10입 - 슬리브 기프트 에디션 (공식수입),43900,N
2026-08-12,카카오선물하기,건강식품·영양제,5,GNM자연의품격,"""본품2병증정"" GNM 올인원 이뮨 액상 종합비타민 2박스 (총 14+2병) / 멀티비타민 이뮨비타민 이뮨샷 비타민",32900,N
2026-08-12,카카오선물하기,건강식품·영양제,6,종근당,올인원 명품비타민 이뮨 멀티비타민 미네랄 7입+비타민젤리 마시는 액상 종합 비타민 수험생 직장인 부모님 건강 선물,23800,N
2026-08-12,카카오선물하기,건강식품·영양제,7,센트룸,[센트룸] 맛있는 멀티비타민 미네랄 멀티구미 (80구미),24000,N
2026-08-12,카카오선물하기,건강식품·영양제,8,뉴트리포유,명품 비타민 뉴트리포유 듀얼+ 이뮨 종합 멀티비타민&미네랄 7입+2입 증정 - 선물하기 단독 에디션,19900,N
2026-08-12,카카오선물하기,건강식품·영양제,9,정관장,신상비타민선물 [정관장] 활기마이트(액상30ml+분말500mg) 7입 + [증정] 1입,39000,N
2026-08-12,카카오선물하기,건강식품·영양제,10,유한건강생활,비타민선물 [호빵맨 키링 증정] 돌려서 톡! 호빵맨 트위스트샷 에너지 10개입 / 고함량 멀티비타민&미네랄 응원선물 직장동료선물,30000,N
2026-08-12,카카오선물하기,건강식품·영양제,11,오쏘몰,성별 맞춤 설계 오쏘몰 바이탈 m/f 남성/여성 선택가능 14입 - 시그니처 기프트 에디션 (공식수입),59800,N
2026-08-12,카카오선물하기,건강식품·영양제,12,종근당,종근당 올인원 이뮨비타 멀티팩 1박스+쇼핑백/ 멀티비타민+밀크씨슬+루테인+알티지오메가3,32900,N
2026-08-12,카카오선물하기,건강식품·영양제,13,뉴트리원,1등 비타민 [비타민 추천] [뉴트리원] 올인원 종합비타민 이뮨샷 2박스 +쇼핑백 +2병 증정 / 멀티비타민&미네랄&명품비타민,34800,N
2026-08-12,카카오선물하기,건강식품·영양제,14,동국제약,"직장인수능응원선물 30일한판루틴 ""멀티비타민+밀크씨슬+루테인+오메가3"" 동국제약 마이핏 올인원 마스터팩 멀티팩 1박스+비오틴 증정 동료",29500,N
2026-08-12,카카오선물하기,건강식품·영양제,15,고려은단,고함량 비타민C 고려은단 메가도스C 3000 100포 / 분말비타민C,24900,N
2026-08-12,카카오선물하기,건강식품·영양제,16,GNC,미국에서온명품비타민 GNC 멀티비타민 + 밀크씨슬 선물세트 + 리미티드 패키지 + 닭다리 과자 증정,30000,N
2026-08-12,카카오선물하기,건강식품·영양제,17,내츄럴플러스,내츄럴플러스 피로개선 액상 멀티비타민 이뮨샷 7병 2박스+이뮨2병 +쇼핑백/ 밀크씨슬 액상 비타민,32900,N
2026-08-12,카카오선물하기,건강식품·영양제,18,오쏘몰,3입 본품 증정 오쏘몰 이뮨 멀티비타민&미네랄 21입+3입 본품 증정 - 시그니처 기프트 에디션 (공식수입),79000,N
2026-08-12,카카오선물하기,건강식품·영양제,19,종근당건강,비타민 선물 추천 아임비타 멀티비타민 이뮨샷 1박스(5입) / 비타민선물 응원선물 에너지 선물 직장동료 선물,15900,N
2026-08-12,카카오선물하기,건강식품·영양제,20,닥터블릿,"""올인원 명품비타민"" 이뮨비타민 올인원 멀티비타민&미네랄 프로 30병+쇼핑백증정",52900,N
